window_id,start_utc,source,step,bx,by,bz,bt,density,speed,temperature
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,42,2.189617,3.261321,-1.075501,3.367765,1.669616,3.541683,1.858998
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,43,2.744571,3.404813,-1.111661,3.873289,1.439275,3.577905,1.932863
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,44,3.829949,3.008881,-1.469967,4.390134,1.37372,3.595666,1.96156
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,45,3.391505,3.691797,-0.6678875,4.543693,1.161975,3.556691,1.938462
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,46,1.585607,1.422497,-0.2208271,0.8493663,1.059261,3.509561,2.109574
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,47,-0.9469425,-0.9690366,-0.7763654,0.06456465,0.7963471,3.396264,2.365836
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,48,1.269805,0.1549842,-0.7500678,-0.1151329,0.6491389,3.271752,2.411092
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,49,-1.783972,0.6678353,1.50167,0.9545582,0.6958593,3.2126,2.552644
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,50,-2.314397,-2.101029,-0.06304106,2.0567,0.6777526,3.232405,2.629833
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,51,-3.056379,-2.547449,0.2065101,3.091224,0.1680894,3.197426,2.458243
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,52,-3.037982,-2.430529,0.6042624,3.008377,0.1991825,3.162696,2.150649
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,53,-2.958265,-2.523533,-0.04331781,2.982252,0.1991825,3.162696,2.150649
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,54,-3.221945,-2.459759,0.03557521,3.147442,0.02104851,3.183251,1.947712
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,55,-3.041048,-2.624509,-1.397648,3.367898,0.03985843,3.193231,2.046626
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,56,-3.185152,-2.481017,-1.446956,3.37315,0.2486936,3.243831,2.586127
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,57,-3.160624,-1.806073,-0.9637364,2.678287,0.1907671,3.126627,2.343059
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,58,-3.154492,-1.694468,-0.3194434,2.484501,0.7078084,3.211555,2.596482
omni_002_gannon_20240511_1759,2024-05-11T17:59:00Z,NASA OMNI HRO modified 1-min,59,-3.175954,-1.861876,0.9066856,2.722799,0.9722897,3.277933,2.767674
